date,Close,Bitcoin,Blockchain,Crypto,Cryptocurrency,Economy,Ethereum,Gold,Market,NFT,,,,,,,,
12/04/16,425.190002,0.241879497,4.875133089,0.44977941,0.421868873,56.92124811,1.008959164,15.79125931,8.793721822,0.203947787,,,,,,,,
13/04/16,423.734009,0.290255396,4.542737651,0.411500311,0.484111822,57.92306506,0.751352569,8.855613588,10.35705015,0.237939085,,,,,,,,
14/04/16,424.282013,0.048375899,3.10235742,0.258383916,0.242055911,53.91579725,0.622549271,8.855613588,6.448729336,0.356908628,,,,,,,,
15/04/16,429.713013,0,4.210342213,0.315802564,0.221308261,49.90852945,0.751352569,7.988657873,8.01205766,0.225192348,,,,,,,,
16/04/16,430.571991,0.048375899,2.326768065,0.277523466,0.359625925,24.86310569,0.601082055,13.19039217,14.26537096,0.165707577,,,,,,,,
17/04/16,427.398987,0.096751799,1.883574148,0.095697747,0.235140028,31.87582434,0.751352569,13.19039217,12.70204263,0.174205402,,,,,,,,
18/04/16,428.591003,0.048375899,3.2131559,0.382790987,0.28355121,59.92669896,0.601082055,8.855613588,7.230393498,0.203947787,,,,,,,,
19/04/16,435.509003,0.193503597,5.429125485,0.488058508,0.193644729,55.91943116,0.815754217,5.387790725,6.448729336,0.093476069,,,,,,,,
20/04/16,441.389008,0.193503597,5.096730048,0.344511888,0.248971794,56.92124811,0.708418136,8.855613588,7.230393498,0.208196699,,,,,,,,
21/04/16,449.424988,0.338631296,4.542737651,0.344511888,0.138317663,51.91216335,0.751352569,6.254746441,8.01205766,0.233690173,,,,,,,,
22/04/16,445.737,0.387007195,3.545551337,0.28709324,0.214392378,42.8958108,0.579614839,9.722569304,11.13871431,0.199698875,,,,,,,,
23/04/16,450.282013,0.145127698,2.105171107,0.172255944,0.242055911,27.86855654,0.622549271,7.988657873,15.04703512,0.161458665,,,,,,,,
24/04/16,458.554993,0.290255396,3.10235742,0.277523466,0.463364172,32.87764129,0.665483704,7.121702157,11.13871431,0.203947787,,,,,,,,
25/04/16,461.425995,0.338631296,4.76433461,0.239244367,0.269719444,57.92306506,0.579614839,7.121702157,8.01205766,0.178454314,,,,,,,,
26/04/16,466.088989,0.338631296,5.207528527,0.315802564,0.304298859,58.92488201,0.772819785,7.988657873,5.667065174,0.280428207,,,,,,,,
27/04/16,444.687012,0.435383094,5.983117882,0.315802564,0.276635327,53.91579725,0.579614839,6.254746441,8.01205766,0.254934734,,,,,,,,
28/04/16,449.010986,0.580510792,5.872319403,0.373221212,0.117570014,58.92488201,0.644016487,8.855613588,8.01205766,0.259183646,,,,,,,,
29/04/16,455.096985,0.387007195,4.875133089,0.325372339,0.54635477,43.89762775,0.601082055,13.19039217,9.575385984,0.195449963,,,,,,,,
30/04/16,448.317993,0.290255396,3.10235742,0.392360762,0.228224145,27.86855654,0.772819785,15.79125931,15.04703512,0.237939085,,,,,,,,
01/05/16,451.875,0.096751799,2.659163503,0.095697747,0.117570014,32.87764129,0.644016487,11.45648074,14.26537096,0.169956489,,,,,,,,
02/05/16,444.669006,3.628192453,7.977490509,0.30623279,0.380373574,55.91943116,0.901623082,7.988657873,11.13871431,0.267681471,,,,,,,,
03/05/16,450.303986,1.789908277,8.309885947,0.363651438,0.442616523,58.92488201,0.601082055,7.988657873,11.13871431,0.288926032,,,,,,,,
04/05/16,446.721985,0.822390289,6.869505716,0.411500311,0.28355121,57.92306506,0.772819785,9.722569304,9.575385984,0.28467712,,,,,,,,
05/05/16,447.976013,0.870766189,5.429125485,0.28709324,0.331962392,54.9176142,0.944557515,9.722569304,15.82869928,0.178454314,,,,,,,,
06/05/16,459.602997,0.677262591,4.875133089,0.325372339,0.387289458,44.8994447,0.794287001,8.855613588,12.70204263,0.178454314,,,,,,,,
07/05/16,458.536011,0.580510792,2.880760462,0.095697747,0.269719444,23.86128873,0.708418136,13.19039217,19.73702009,0.169956489,,,,,,,,
08/05/16,458.548004,0.483758994,3.434752858,0.30623279,0.449532406,31.87582434,0.579614839,12.32343645,11.13871431,7.54758E-18,,,,,,,,
09/05/16,460.483002,0.580510792,6.980304196,0.344511888,0.235140028,58.92488201,0.729885352,14.05734788,4.10373685,0.212445612,,,,,,,,
10/05/16,450.894989,0.532134893,6.647908758,0.373221212,0.325046509,57.92306506,0.68695092,8.855613588,7.230393498,0.135965191,,,,,,,,
11/05/16,452.727997,0.532134893,5.761520923,0.210535043,0.248971794,54.9176142,0.966024731,10.58952502,10.35705015,0.212445612,,,,,,,,
12/05/16,454.765991,0.387007195,7.091102675,0.373221212,0.228224145,55.91943116,0.815754217,8.855613588,11.13871431,0.331415154,,,,,,,,
13/05/16,455.670013,0.338631296,6.869505716,0.373221212,0.345794159,41.89399385,0.966024731,7.988657873,11.92037847,0.229441261,,,,,,,,
14/05/16,455.67099,0.145127698,2.659163503,0.153116395,0.255887677,19.85402093,0.837221434,10.58952502,11.92037847,0.407895574,,,,,,,,
15/05/16,457.567993,0.048375899,2.691934884,0.382790987,0.399584361,31.58959093,0.648066906,7.921968971,12.85837546,0.288926032,,,,,,,,
16/05/16,454.162994,0.096751799,4.213463297,0.440209635,0.568639283,53.67045433,0.972100358,11.72323634,11.76404564,0.199698875,,,,,,,,
17/05/16,453.78299,0.435383094,6.788357534,0.44977941,0.11526472,57.35059823,1.174621266,11.72323634,8.481056157,0.254934734,,,,,,,,
18/05/16,454.618988,0.338631296,7.139479476,0.631605129,0.192107866,52.44373969,1.539158901,10.45614722,8.481056157,0.242187997,,,,,,,,
19/05/16,438.714996,0.387007195,5.852032357,0.344511888,0.338109844,49.99031043,1.458150538,14.25741459,8.481056157,0.208196699,,,,,,,,
